Var1,URL,SRC,R,G,B,USAGE,GitHub
1,https://live.staticflickr.com/8412/8708084250_7938567954_t.jpg,./NaturePhotos/1.jpg,157.9336,108.922,150.7608,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/1.jpg
2,https://live.staticflickr.com/65535/49626295463_68bb1c4d52_t.jpg,./NaturePhotos/2.jpg,229.74,225.934,229.2984,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/2.jpg
3,https://live.staticflickr.com/65535/49008909067_706f4d6907_t.jpg,./NaturePhotos/3.jpg,134.2104,37.936,88.1428,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/3.jpg
4,https://live.staticflickr.com/65535/50504655558_37dc33942b_t.jpg,./NaturePhotos/4.jpg,101.1296,99.8828,112.8056,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/4.jpg
5,https://live.staticflickr.com/65535/48091571778_af72f6c8ee_t.jpg,./NaturePhotos/5.jpg,75.8272,39.942,104.5676,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/5.jpg
6,https://live.staticflickr.com/5482/9413713337_43fe73f1c1_t.jpg,./NaturePhotos/6.jpg,98.9876,102.3412,116.6416,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/6.jpg
7,https://live.staticflickr.com/900/26357759087_27ca358264_t.jpg,./NaturePhotos/7.jpg,80.788,77.816,64.1092,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/7.jpg
8,https://live.staticflickr.com/7884/47488028602_c9169f03ce_t.jpg,./NaturePhotos/8.jpg,71.7276,64.894,62.4524,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/8.jpg
9,https://live.staticflickr.com/65535/32923486747_5404b73628_t.jpg,./NaturePhotos/9.jpg,131.4696,141.5272,135.5464,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/9.jpg
10,https://live.staticflickr.com/7721/17130239621_b07d38d33c_t.jpg,./NaturePhotos/10.jpg,88.27,91.9344,84.4036,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/10.jpg
11,https://live.staticflickr.com/7898/33259544378_04489751a1_t.jpg,./NaturePhotos/11.jpg,136.2104,128.3092,131.9804,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/11.jpg
12,https://live.staticflickr.com/65535/50381494183_e40213dcba_t.jpg,./NaturePhotos/12.jpg,82.3,86.0668,90.772,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/12.jpg
13,https://live.staticflickr.com/65535/51688615984_8467b55025_t.jpg,./NaturePhotos/13.jpg,88.2036,41.148,53.206,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/13.jpg
15,https://live.staticflickr.com/1942/30110652407_f29b20260c_t.jpg,./NaturePhotos/15.jpg,113.446,170.6596,142.814,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/15.jpg
16,https://live.staticflickr.com/2880/9571634842_66338f7334_t.jpg,./NaturePhotos/16.jpg,115.8068,133.9096,145.682,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/16.jpg
17,https://live.staticflickr.com/65535/49976924651_5b88709504_t.jpg,./NaturePhotos/17.jpg,156.0504,141.6592,153.2992,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/17.jpg
18,https://live.staticflickr.com/4261/35129594973_3f84d8beb9_t.jpg,./NaturePhotos/18.jpg,113.5296,120.4276,120.5252,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/18.jpg
20,https://live.staticflickr.com/4826/31426331547_4e21bafbc1_t.jpg,./NaturePhotos/20.jpg,47.9436,105.8548,64.8816,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/20.jpg
21,https://live.staticflickr.com/65535/50165694463_05e403685d_t.jpg,./NaturePhotos/21.jpg,83.9824,87.7864,84.9944,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/21.jpg
23,https://live.staticflickr.com/65535/50708668847_0177fcd20a_t.jpg,./NaturePhotos/23.jpg,122.2136,112.9276,117.1124,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/23.jpg
24,https://live.staticflickr.com/4900/45436250434_0f290daa42_t.jpg,./NaturePhotos/24.jpg,68.462,47.7292,103.2268,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/24.jpg
25,https://live.staticflickr.com/1758/41590656255_d816f372fe_t.jpg,./NaturePhotos/25.jpg,154.2704,162.9112,159.5728,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/25.jpg
27,https://live.staticflickr.com/4812/40058399673_b97748cf83_t.jpg,./NaturePhotos/27.jpg,158.2088,69.7028,140.9276,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/27.jpg
29,https://live.staticflickr.com/65535/49213486176_4929011ff3_t.jpg,./NaturePhotos/29.jpg,108.4924,107.4792,107.3248,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/29.jpg
